i,j,sim
0,1,1.0
0,2,1.0
0,3,1.0
3,7,0.08877455877455877
3,8,0.09245532245532245
3,9,0.09552059052059052
4,5,1.0
4,6,0.08877455877455878
0,4,1.0
5,7,0.08877455877455877
5,8,0.09245532245532245
5,9,0.09552059052059052
6,7,0.8068735090959505
6,8,0.28834204260085927
0,5,1.0
1,2,1.0
2,4,1.0
2,5,1.0
2,6,0.08877455877455878
2,7,0.08877455877455877
2,8,0.09245532245532245
2,9,0.09552059052059052
6,9,0.5056616711194595
7,8,0.28834204260085927
7,9,0.5971303345494163
8,9,0.33517101318091075
3,4,1.0
0,6,0.08877455877455878
0,7,0.08877455877455877
0,8,0.09245532245532245
0,9,0.09552059052059052
1,3,1.0
4,7,0.08877455877455877
3,5,1.0
3,6,0.08877455877455878
4,8,0.09245532245532245
4,9,0.09552059052059052
1,4,1.0
1,5,1.0
5,6,0.08877455877455878
1,6,0.08877455877455878
1,7,0.08877455877455877
1,8,0.09245532245532245
1,9,0.09552059052059052
2,3,1.0
