i,j,sim
0,1,0.2878189236627107
17,88,0.2329457688389741
37,77,0.7512043324140905
60,148,0.33517101318091075
91,128,0.5688418277925631
0,2,0.4251910075477886
17,89,0.3018527332799839
37,78,0.291096957653616
60,149,0.6158425460258277
91,129,0.6452348593407619
0,3,0.4454232750976407
17,90,0.5814901491052552
37,79,0.5996668185413901
60,150,0.3489437514145852
91,130,0.2630293384190696
0,4,0.6471122860831224
17,91,0.591942671135786
37,80,0.3489437514145852
60,151,0.5224822821595877
91,131,0.6452348593407619
0,5,0.5175905593198028
17,92,0.36502610087549026
37,81,0.3489437514145852
60,152,0.5849382668879115
91,132,0.9214417641799797
0,6,0.3536364377682058
17,93,0.548990914900687
37,82,0.2878189236627107
60,153,0.5457128809097818
91,133,0.6319897981714158
0,7,0.7405297632205655
17,94,0.2553196894581425
37,83,0.511726920528948
60,154,0.2878189236627108
91,134,0.5569064218010674
0,8,0.6389681622070277
17,95,0.35125336264181584
37,84,0.3489437514145852
37,85,0.6065253337957262
91,135,0.5903279818286453
0,9,0.3428806621418379
17,96,0.6092178663881901
60,155,0.2878189236627108
37,86,0.36795373891802907
91,136,0.551588003260828
0,10,0.3697187872291109
17,97,0.6265983216521955
60,156,0.4528189887668711
37,87,0.291096957653616
91,137,0.31260850890635183
0,11,0.3428806621418379
17,98,0.36502610087549026
17,99,0.4425863320786517
37,88,0.3326995896607041
91,138,0.7126067633266127
0,12,0.3697187872291109
60,157,0.45281898876687104
17,100,0.4605286377277983
37,89,0.291096957653616
91,139,0.551588003260828
0,13,0.29742111830996204
60,158,0.3489437514145852
17,101,0.31260850890635183
37,90,0.291096957653616
91,140,0.6322508695550144
0,14,0.3018527332799839
0,15,0.3536364377682058
17,102,0.35125336264181584
37,91,0.2553196894581425
91,141,0.5102416006726214
60,159,0.3489437514145852
0,16,0.291096957653616
17,103,0.4605286377277983
37,92,0.3489437514145852
91,142,0.5204742573608407
60,160,0.6662181935481942
0,17,0.5814901491052552
17,104,0.7096068085483609
37,93,0.2508880744881206
91,143,0.616055448584027
60,161,0.31060183091004645
0,18,0.6180864629970872
17,105,0.2974211183099621
37,94,0.3429322463489235
91,144,0.6452348593407619
60,162,0.49072569277512246
0,19,0.5037836475587345
17,106,0.44586436606955704
37,95,0.33517101318091075
91,145,0.5644102128225412
60,163,0.4166839961896864
0,20,0.6578680617094904
17,107,0.2751706023500186
37,96,0.45047001123310737
91,146,0.48388431268848764
60,164,0.5076760574776868
0,21,0.4638066717187035
17,108,0.4934175414747397
37,97,0.291096957653616
91,147,0.6452348593407619
60,165,0.3489437514145852
0,22,0.3697187872291109
17,109,0.35125336264181584
37,98,0.3489437514145852
91,148,0.7151419500085805
61,62,0.27073898737999674
17,110,0.3018527332799839
17,111,0.7107677536753444
17,112,0.36502610087549026
17,113,0.22714472712077657
17,114,0.5431898731824893
17,115,0.2630293384190696
17,116,0.36502610087549026
17,117,0.29857469928907865
17,118,0.29857469928907865
17,119,0.4400633243513595
17,120,0.27073898737999674
17,121,0.445864366069557
17,122,0.6265983216521955
17,123,0.25270338986107443
17,124,0.6265983216521955
17,125,0.6265983216521955
17,126,0.6265983216521955
17,127,0.2630293384190696
17,128,0.2630293384190696
17,129,0.29857469928907865
17,130,0.2630293384190696
17,131,0.29857469928907865
17,132,0.6265983216521955
17,133,0.36502610087549026
17,134,0.458005630000506
17,135,0.31260850890635183
17,136,0.3018527332799839
17,137,0.31260850890635183
17,138,0.4853182229714394
17,139,0.3018527332799839
17,140,0.365287172259089
17,141,0.25279668173085024
17,142,0.2630293384190696
17,143,0.2329457688389741
17,144,0.29857469928907865
17,145,0.25859772344904774
17,146,0.5136314644698549
17,147,0.29857469928907865
17,148,0.35125336264181584
17,149,0.6265983216521955
17,150,0.36502610087549026
17,151,0.7030581047144173
17,152,0.4808866080014175
17,153,0.5534225298707088
17,154,0.29857469928907865
17,155,0.29857469928907865
17,156,0.4605286377277983
17,157,0.46052863772779823
17,158,0.36502610087549026
17,159,0.36502610087549026
17,160,0.5534225298707088
17,161,0.2329457688389741
17,162,0.7030581047144173
17,163,0.2553196894581425
17,164,0.3018527332799839
17,165,0.36502610087549026
18,19,0.5005056135678292
18,20,0.6534364467394685
18,21,0.4612836639914113
18,22,0.365287172259089
18,23,0.3115345833191148
18,24,0.2203622205384842
18,25,0.43909911444129457
18,26,0.34920482279818393
18,27,0.43909911444129457
18,28,0.43909911444129457
18,29,0.4612836639914113
18,30,0.28674499807547377
18,31,0.2922505386327326
18,32,0.6180864629970872
18,33,0.5200063852021757
18,34,0.458005630000506
18,35,0.365287172259089
18,36,0.43909911444129457
18,37,0.2878189236627107
18,38,0.2878189236627107
18,39,0.2878189236627108
18,40,0.29857469928907865
18,41,0.5718879544580039
18,42,0.7767419493020178
18,43,0.5718879544580039
18,44,0.5718879544580039
18,45,0.4688077601709805
18,46,0.43909911444129457
18,47,0.34920482279818393
18,48,0.57821211511435
18,49,0.3751789359741759
18,50,0.5188684101978306
18,51,0.3115345833191148
18,52,0.6426806711131006
18,53,0.34920482279818393
18,54,0.39942407293817217
18,55,0.7311183598010966
18,56,0.6534364467394685
18,57,0.2922505386327326
18,58,0.4941814529114831
18,59,0.34477320782816206
18,60,0.7203625841747288
18,61,0.26050633069177737
18,62,0.365287172259089
18,63,0.2878189236627107
18,64,0.2878189236627107
18,65,0.2823133831054519
18,66,0.5188684101978306
18,67,0.43909911444129457
18,68,0.29857469928907865
18,69,0.6534364467394685
18,70,0.43909911444129457
18,71,0.30933047491544663
0,23,0.29552857262363785
0,24,0.22288522826577645
0,25,0.4454232750976407
0,26,0.6373472504535883
0,27,0.4454232750976407
0,28,0.4454232750976407
0,29,0.4638066717187035
38,39,0.6098994752296096
38,40,0.7018971595874337
38,41,0.5941959733629545
17,67,0.36502610087549026
17,68,0.2630293384190696
17,69,0.6265983216521955
17,70,0.36502610087549026
17,71,0.27073898737999674
17,72,0.5679794584261306
17,73,0.4853182229714394
17,74,0.6265983216521955
17,75,0.5088368393965941
17,76,0.2941430843190568
17,77,0.7063361387053225
17,78,0.3018527332799839
17,79,0.4425863320786517
17,80,0.36502610087549026
17,81,0.36502610087549026
17,82,0.29857469928907865
17,83,0.2553196894581425
17,84,0.36502610087549026
17,85,0.25859772344904774
17,86,0.6221667066821737
17,87,0.6265983216521955
18,72,0.808906648223828
18,73,0.5251925708541767
18,74,0.6534364467394685
18,75,0.2878189236627107
18,76,0.3544550578672929
18,77,0.46571527896143317
18,78,0.34920482279818393
18,79,0.46571527896143317
18,80,0.43909911444129457
18,81,0.43909911444129457
18,82,0.34477320782816206
18,83,0.2878189236627107
18,84,0.43909911444129457
18,85,0.2922505386327326
18,86,0.6471122860831224
18,87,0.6534364467394685
18,88,0.26050633069177737
18,89,0.34920482279818393
