i,j,sim
0,1,1.0
47,441,1.0
99,365,1.0
221,594,0.7845029994222362
299,323,1.0
156,553,1.0
399,559,1.0
0,2,1.0
47,442,1.0
99,366,1.0
221,595,0.5503197610454931
299,324,1.0
156,554,1.0
399,560,1.0
0,3,1.0
47,443,0.7431554803323539
99,367,1.0
221,596,0.8116522326301223
299,325,1.0
156,555,1.0
399,561,0.855682938412556
0,4,1.0
47,444,0.7845029994222362
99,368,1.0
221,597,0.7845029994222362
299,326,1.0
156,556,1.0
399,562,1.0
0,5,1.0
47,445,1.0
99,369,0.8844953180966426
221,598,0.7845029994222362
299,327,0.7845029994222362
156,557,1.0
399,563,1.0
0,6,1.0
47,446,0.7845029994222362
99,370,1.0
221,599,1.0
299,328,0.7431554803323539
156,558,1.0
399,564,1.0
0,7,1.0
47,447,1.0
99,371,0.7845029994222362
221,600,0.6572311996592037
299,329,0.7845029994222362
156,559,1.0
399,565,0.7571525159912651
0,8,1.0
47,448,1.0
99,372,1.0
221,601,0.7845029994222362
299,330,0.748240950417824
156,560,1.0
399,566,1.0
0,9,1.0
47,449,1.0
99,373,1.0
221,602,0.7845029994222362
299,331,0.4821165460500269
156,561,0.855682938412556
399,567,0.893176085003576
0,10,1.0
47,450,1.0
99,374,0.5433605594593451
221,603,0.7845029994222362
299,332,1.0
156,562,1.0
399,568,1.0
0,11,0.7508872577274093
47,451,1.0
99,375,1.0
221,604,0.7845029994222362
299,333,1.0
156,563,1.0
399,569,1.0
0,12,0.4821165460500269
47,452,1.0
99,376,0.7845029994222362
221,605,0.7845029994222362
299,334,1.0
156,564,1.0
399,570,1.0
0,13,1.0
47,453,1.0
99,377,1.0
221,606,0.7845029994222362
299,335,1.0
156,565,0.7571525159912651
399,571,1.0
0,14,1.0
47,454,1.0
99,378,1.0
221,607,0.7845029994222362
299,336,0.6185648523840677
156,566,1.0
399,572,1.0
0,15,0.7571525159912651
