i,j,sim
0,1,0.8165067098159989
13,54,1.0
28,79,0.36279370785395515
46,86,1.0
46,87,0.9199106967856712
0,2,0.8804957861077007
13,55,1.0
28,80,0.5572314629233605
69,122,0.5546802267032785
46,88,0.6392607316229686
0,3,0.8804957861077007
13,56,1.0
28,81,0.39321222284538065
69,123,1.0
46,89,0.6392607316229686
0,4,0.514033135205658
13,57,1.0
28,82,0.5572314629233605
69,124,0.6392607316229686
46,90,0.9164340672699423
0,5,0.8804957861077007
13,58,0.8080335804252552
28,83,0.36279370785395515
69,125,0.628671845589605
46,91,0.7932501027450682
0,6,0.7610013830041973
13,59,0.8804957861077007
28,84,0.44635964058401295
69,126,1.0
46,92,0.6392607316229686
0,7,0.8804957861077007
13,60,0.6392607316229686
28,85,0.5145920610549668
70,71,0.5546802267032785
46,93,0.721379869811598
0,8,0.6718096312541033
13,61,0.48854435055383133
28,86,0.44635964058401295
70,72,0.8724636698652974
46,94,0.8043866949985113
0,9,0.5779401260287885
13,62,0.6392607316229686
28,87,0.4032649792734677
70,73,1.0
46,95,0.6454882432706374
0,10,0.514033135205658
13,63,0.5546802267032785
28,88,0.5572314629233605
70,74,0.628671845589605
70,75,1.0
0,11,0.6637362505317507
13,64,0.628671845589605
28,89,0.5572314629233605
46,96,1.0
70,76,0.8804957861077007
70,77,1.0
70,78,1.0
28,90,0.36279370785395515
46,97,0.5961533722593182
0,12,0.514033135205658
13,65,0.8080335804252552
70,79,0.5546802267032785
28,91,0.27660438523286474
46,98,0.6392607316229686
0,13,0.8804957861077007
13,66,1.0
70,80,1.0
28,92,0.5572314629233605
46,99,0.5702437798153871
0,14,0.3996653541556108
13,67,0.4503410557511679
70,81,0.5581090469096137
28,93,0.4630398010753837
46,100,0.6392607316229686
0,15,0.5779401260287885
13,68,1.0
70,82,1.0
28,94,0.333315363756882
46,101,0.6392607316229686
0,16,0.8804957861077007
0,17,0.5961533722593182
70,83,0.5546802267032785
28,95,0.3161337185501414
46,102,0.5301870835737249
13,69,1.0
13,70,1.0
13,71,0.5546802267032785
28,96,0.44635964058401295
46,103,0.6392607316229686
0,18,0.5779401260287885
70,84,0.6392607316229686
13,72,0.8724636698652974
28,97,0.5145920610549668
46,104,0.6392607316229686
0,19,0.8165067098159989
70,85,0.8804957861077007
13,73,1.0
28,98,0.5572314629233605
46,105,0.9164340672699423
0,20,0.5961533722593182
70,86,0.6392607316229686
13,74,0.628671845589605
28,99,0.7900052870528329
46,106,0.6392607316229686
0,21,0.7982269797936059
70,87,0.628671845589605
13,75,1.0
28,100,0.5572314629233605
46,107,0.6392607316229686
0,22,0.8804957861077007
70,88,1.0
13,76,0.8804957861077007
28,101,0.5572314629233605
46,108,0.5301870835737249
0,23,0.8804957861077007
70,89,1.0
13,77,1.0
28,102,0.5786723621274361
46,109,0.5961533722593182
0,24,0.8804957861077007
70,90,0.5546802267032785
70,91,0.4503410557511679
28,103,0.5572314629233605
46,110,0.6392607316229686
0,25,0.8804957861077007
13,78,1.0
13,79,0.5546802267032785
28,104,0.5572314629233605
46,111,1.0
0,26,0.8804957861077007
0,27,0.8804957861077007
13,80,1.0
28,105,0.36279370785395515
46,112,0.6392607316229686
70,92,1.0
70,93,0.6167297412222914
13,81,0.5581090469096137
28,106,0.5572314629233605
46,113,0.9620988140089652
0,28,0.5145920610549668
70,94,0.5203555379689118
13,82,1.0
28,107,0.5572314629233605
46,114,0.9199106967856712
0,29,0.5961533722593182
70,95,0.49104459792243493
13,83,0.5546802267032785
28,108,0.7615864807001301
46,115,0.5088128396307472
0,30,0.541445031561081
70,96,0.6392607316229686
13,84,0.6392607316229686
28,109,0.5145920610549668
46,116,0.9199106967856712
0,31,0.8165067098159989
0,32,0.8165067098159989
13,85,0.8804957861077007
28,110,0.5572314629233605
46,117,0.6392607316229686
70,97,0.8804957861077007
0,33,0.8804957861077007
13,86,0.6392607316229686
28,111,0.44635964058401295
46,118,0.46393785066632676
70,98,1.0
0,34,0.514033135205658
13,87,0.628671845589605
28,112,0.5572314629233605
46,119,0.730887878274199
70,99,0.8080335804252552
0,35,0.8804957861077007
13,88,1.0
28,113,0.4454530964967619
46,120,0.6392607316229686
70,100,1.0
0,36,0.8804957861077007
13,89,1.0
28,114,0.4032649792734677
46,121,1.0
70,101,1.0
0,37,0.5028262512883327
13,90,0.5546802267032785
28,115,0.4905444993935377
46,122,0.9164340672699423
70,102,0.7308455144144101
0,38,0.8804957861077007
