i,j,sim
0,1,0.5186333068634832
0,2,0.7113664650045779
0,3,0.44382492204465596
18,25,0.091022476910042
18,26,0.08786343344842569
18,27,0.07468978962893007
18,28,0.07468978962893005
18,29,0.08561388304392631
18,30,0.08561388304392631
18,31,0.0884780285440404
18,32,0.0804669600407859
18,33,0.2667761593217195
18,34,0.1374442478173862
18,35,0.09817187412342193
27,36,0.39654213396103466
27,37,0.6678681079940505
5,16,0.5311745247928564
11,18,0.46661932013868973
11,19,0.3594889274498923
11,20,0.44886861643137044
11,21,1.0
11,22,1.0
11,23,1.0
11,24,0.10204277182979737
11,25,0.08320898046823416
11,26,0.09310657171706666
11,27,0.07851998609924268
11,28,0.07851998609924268
11,29,0.09082216611224264
11,30,0.09082216611224264
11,31,0.09382239887611182
11,32,0.08497158983694975
11,33,0.10408902124350243
11,34,0.10708344325776309
11,35,0.10493333661249761
11,36,0.10522831867111018
27,38,0.29565035717055843
27,39,0.5867031044548068
0,4,0.7113664650045779
0,5,0.6776105029585979
0,6,0.5989926693571846
11,37,0.08507282190038024
11,38,0.08320898046823416
27,40,0.7436504057181988
27,41,0.7693374554587893
0,7,0.7033602615881671
0,8,0.7113664650045779
0,9,0.6776105029585979
0,10,0.7113664650045779
27,42,0.5843708895942544
27,43,0.6626244114682716
11,39,0.0890926236396551
11,40,0.09599713649976688
11,41,0.09452950918966385
11,42,0.09640593580384733
11,43,0.08507282190038022
11,44,0.09040083476667365
11,45,0.09343751279105278
11,46,0.09040083476667365
11,47,0.08382357556384887
11,48,0.08435699474133505
0,11,0.7113664650045779
0,12,0.7113664650045779
0,13,0.6776105029585979
0,14,0.7113664650045779
0,15,0.624621438296906
0,16,0.575375009862213
27,44,0.54422919761469
27,45,0.42678094815578027
27,46,0.678159785803417
27,47,0.5338549421073775
27,48,0.5423612632908745
27,49,0.6216381732157275
28,29,0.41563574770672107
28,30,0.5629892945621725
0,17,0.7113664650045779
0,18,0.4432271524991048
0,19,0.26484165327694387
0,20,0.7596858777184303
0,21,0.7113664650045779
0,22,0.7113664650045779
0,23,0.7113664650045779
0,24,0.08747727979741574
0,25,0.08015077896535067
0,26,0.08091295192203238
0,27,0.06968058692850038
0,28,0.06968058692850038
0,29,0.07901523560075449
0,30,0.07901523560075449
0,31,0.08144637109951858
0,32,0.07468978962893005
0,33,0.10408018105100766
0,34,0.11246400032094028
0,35,0.08962604281714129
0,36,0.08980845079870026
0,37,0.07475587923727778
0,38,0.11174660517964197
0,39,0.07786595376170269
0,40,0.08306171494175793
0,41,0.0818966577676076
0,42,0.08222213380367227
0,43,0.07475587923727778
0,44,0.07865551249515547
0,45,0.08103659273544316
0,46,0.07865551249515547
0,47,0.0852084757349301
0,48,0.0742224600597916
0,49,0.08909262363965509
1,2,0.6419304707385265
1,3,0.38579870656609805
1,4,0.6419304707385265
1,5,0.6057652684428889
1,6,0.5460708000656089
1,7,0.6315150270724581
1,8,0.6419304707385265
1,9,0.6057652684428889
1,10,0.6419304707385265
1,11,0.6419304707385265
1,12,0.6419304707385265
1,13,0.6057652684428889
1,14,0.6419304707385265
1,15,0.543482549937657
1,16,0.37281192379335637
1,17,0.6419304707385265
1,18,0.26490331690446234
1,19,0.38033469719692503
1,20,0.2977895480045182
1,21,0.6419304707385265
1,22,0.6419304707385265
1,23,0.6419304707385265
1,24,0.10305358104745513
1,25,0.10950637531843743
1,26,0.09395088708606182
1,27,0.07905340527672886
1,28,0.07905340527672886
1,29,0.09153799327128781
1,30,0.09153799327128781
1,31,0.094666714245107
1,32,0.08558618493256445
1,33,0.11178843549169423
1,34,0.12207218403419776
1,35,0.10594414583015535
1,36,0.10623912788876792
1,37,0.08568741699599494
1,38,0.10645136850393014
1,39,0.08980845079870027
1,40,0.09684145186876206
1,41,0.09537382455865903
1,42,0.09731502671293824
1,43,0.08568741699599493
1,44,0.09111666192571882
1,45,0.09428182816004796
1,46,0.09111666192571882
1,47,0.08993734303932219
1,48,0.08497158983694976
1,49,0.10522831867111018
2,3,0.5631973037546727
2,4,1.0
2,5,0.9059931642485096
2,6,0.7100488845501461
2,7,0.958575088530196
