i,j,sim
0,1,1.0
3,28,0.9220452698481765
8,9,0.9059931642485096
13,15,0.9059931642485096
19,30,0.6468309984931555
0,2,1.0
3,29,1.0
8,10,0.7100488845501461
13,16,0.9059931642485096
19,31,0.7655174806233216
0,3,1.0
3,30,0.83116838528867
8,11,0.958575088530196
13,17,0.9714188500914102
19,32,0.6495040238482537
0,4,0.7113664650045779
3,31,1.0
8,12,1.0
13,18,0.9059931642485096
19,33,0.3645110053783245
0,5,0.6419304707385265
3,32,0.7445315120090626
8,13,0.9059931642485096
13,19,0.7217337962442159
19,34,0.7655174806233216
0,6,1.0
3,33,0.10506182482244761
8,14,1.0
13,20,0.5311745247928564
19,35,0.7655174806233216
0,7,0.5631973037546727
3,34,1.0
8,15,1.0
13,21,0.9059931642485096
20,21,0.5655450819344512
0,8,1.0
3,35,1.0
8,16,1.0
13,22,0.545922373957602
20,22,0.46353755702267485
0,9,0.9059931642485096
4,5,0.5186333068634832
8,17,0.9059931642485096
13,23,0.41506433921279695
20,23,0.2345834241105436
0,10,0.7100488845501461
4,6,0.7113664650045779
8,18,1.0
13,24,0.41990219182017907
20,24,0.4511111113163948
0,11,0.958575088530196
4,7,0.44382492204465596
8,19,0.7655174806233216
13,25,0.9059931642485096
20,25,0.5655450819344512
0,12,1.0
4,8,0.7113664650045779
8,20,0.5655450819344512
13,26,0.9059931642485096
20,26,0.5655450819344512
0,13,0.9059931642485096
4,9,0.6776105029585979
8,21,1.0
13,27,0.9059931642485096
20,27,0.5655450819344512
0,14,1.0
4,10,0.5989926693571846
8,22,0.46661932013868973
13,28,0.9674445157046954
20,28,0.5569242834224257
0,15,1.0
4,11,0.7033602615881671
8,23,0.3594889274498923
13,29,0.9059931642485096
20,29,0.5655450819344512
0,16,1.0
4,12,0.7113664650045779
8,24,0.44886861643137044
13,30,0.9281464981681757
20,30,0.4594566059465294
0,17,0.9059931642485096
4,13,0.6776105029585979
8,25,1.0
13,31,0.9059931642485096
20,31,0.5655450819344512
0,18,1.0
4,14,0.7113664650045779
8,26,1.0
13,32,0.7180760694335332
20,32,0.415721354836707
0,19,0.7655174806233216
4,15,0.7113664650045779
8,27,1.0
13,33,0.0982731061868524
20,33,0.1294928969988991
20,34,0.5655450819344512
4,16,0.7113664650045779
8,28,0.9220452698481765
13,34,0.9059931642485096
0,20,0.5655450819344512
0,21,1.0
4,17,0.6776105029585979
8,29,1.0
13,35,0.9059931642485096
20,35,0.5655450819344512
0,22,0.46661932013868973
4,18,0.7113664650045779
8,30,0.83116838528867
14,15,1.0
21,22,0.46661932013868973
0,23,0.3594889274498923
4,19,0.624621438296906
8,31,1.0
14,16,1.0
21,23,0.3594889274498923
0,24,0.44886861643137044
4,20,0.575375009862213
4,21,0.7113664650045779
14,17,0.9059931642485096
21,24,0.44886861643137044
0,25,1.0
8,32,0.7445315120090626
4,22,0.4432271524991048
14,18,1.0
21,25,1.0
0,26,1.0
8,33,0.10506182482244761
4,23,0.26484165327694387
14,19,0.7655174806233216
14,20,0.5655450819344512
0,27,1.0
8,34,1.0
4,24,0.7596858777184303
21,26,1.0
14,21,1.0
0,28,0.9220452698481765
8,35,1.0
4,25,0.7113664650045779
21,27,1.0
14,22,0.46661932013868973
0,29,1.0
9,10,0.6758068156185013
4,26,0.7113664650045779
21,28,0.9220452698481765
14,23,0.3594889274498923
0,30,0.83116838528867
9,11,0.9674445157046954
4,27,0.7113664650045779
21,29,1.0
14,24,0.44886861643137044
0,31,1.0
0,32,0.7445315120090626
9,12,0.9059931642485096
4,28,0.7976408127395858
21,30,0.83116838528867
14,25,1.0
0,33,0.10506182482244761
9,13,0.9714188500914102
4,29,0.7113664650045779
21,31,1.0
14,26,1.0
0,34,1.0
9,14,0.9059931642485096
4,30,0.6058925841122709
21,32,0.7445315120090626
14,27,1.0
0,35,1.0
9,15,0.9059931642485096
4,31,0.7113664650045779
21,33,0.10506182482244761
14,28,0.9220452698481765
1,2,1.0
9,16,0.9059931642485096
4,32,0.6506024824474532
21,34,1.0
14,29,1.0
1,3,1.0
9,17,1.0
4,33,0.11543393114985499
21,35,1.0
14,30,0.83116838528867
1,4,0.7113664650045779
9,18,0.9059931642485096
