i,j,sim
0,1,0.7717039995806698
5,37,0.5063903485763954
12,15,0.6771233521372471
19,42,0.6320742046503942
29,43,0.7693374554587893
0,2,0.7249053943270314
5,38,0.4871052916937546
12,16,0.46425635202686405
19,43,0.6227016250874116
29,44,0.5843708895942544
0,3,0.7926018842937159
5,39,0.4337981733125718
12,17,0.6308506127615192
19,44,0.4846843437886974
29,45,0.6626244114682716
0,4,0.6136632576829271
5,40,0.2394845090335882
12,18,0.37891701471145967
19,45,0.5463401160814343
29,46,0.54422919761469
0,5,0.3900821323906596
5,41,0.36652048533489145
12,19,0.41368109803572917
19,46,0.4568720078429015
29,47,0.42678094815578027
0,6,0.4108511051987737
5,42,0.4905646698685101
12,20,0.37318901206494204
19,47,0.6559507499503092
29,48,0.678159785803417
0,7,0.622870675497603
5,43,0.4898428262655619
12,21,0.5987034134921285
19,48,0.48575360337120943
29,49,0.5338549421073775
0,8,0.6805636006498196
5,44,0.3591008231765279
12,22,0.46425635202686405
19,49,0.48099983021603215
29,50,0.5423612632908745
0,9,0.6490712224989165
5,45,0.6432154509096972
12,23,0.3208262431416578
19,50,0.821679844013693
29,51,0.6216381732157275
0,10,0.5124809053372852
5,46,0.3417087621719387
12,24,0.3465658696376079
19,51,0.5622299813512176
29,52,0.4641215092571412
0,11,0.48316753674135293
5,47,0.3626481685867309
12,25,0.45415755740413777
19,52,0.6561966560496912
29,53,0.6058116444553961
0,12,0.5111196068455148
5,48,0.35972339788455804
12,26,0.41303169589450617
19,53,0.6260773914928401
30,31,0.41563574770672107
0,13,0.7926018842937159
5,49,0.5329296051101902
12,27,0.4558819456895059
20,21,0.3767096954929092
30,32,0.5629892945621725
0,14,0.7962817094125476
5,50,0.5542126843477758
12,28,0.44823419050748214
20,22,0.5904420724930219
30,33,0.43860600861092497
0,15,0.6506318044441576
5,51,0.6393320503957882
12,29,0.4927047712161631
20,23,0.677534250755027
30,34,0.7099949879583705
0,16,0.824407271431967
5,52,0.46724930911286683
12,30,0.4927047712161631
20,24,0.31609677051638085
30,35,0.385399864883441
0,17,0.577090849404631
5,53,0.4998164131065944
12,31,0.4610028907437197
20,25,0.554662222960511
30,36,0.4173665600194581
0,18,0.5025733187707497
6,7,0.47095714657770676
12,32,0.5380810518408916
20,26,0.741145025031529
30,37,0.5613065066900357
0,19,0.5350568632989176
6,8,0.423552602160792
12,33,0.3284905933582189
20,27,0.4310150389522365
30,38,0.39654213396103466
0,20,0.48969083050536255
6,9,0.46724930911286683
12,34,0.5761708626570032
20,28,0.758381801322993
30,39,0.6678681079940505
0,21,0.4393931544571299
6,10,0.33649816377423925
12,35,0.5721371328994591
20,29,0.47127599487601074
30,40,0.29565035717055843
0,22,0.824407271431967
6,11,0.6518878550059177
12,36,0.32667518180379684
20,30,0.47127599487601074
30,41,0.5867031044548068
0,23,0.4479248397056253
6,12,0.43916741020241457
12,37,0.48480712709450247
20,31,0.38096654198309526
30,42,0.6927267722968142
0,24,0.3876363200981803
6,13,0.5634248462157834
12,38,0.33208974786217704
20,32,0.4350990055658991
30,43,0.7092485338387107
0,25,0.4830985572006674
6,14,0.627876457555988
12,39,0.5340439826926835
20,33,0.6519610377474366
30,44,0.5843708895942544
0,26,0.5281991132540053
6,15,0.41667893541643847
12,40,0.29332120384557314
20,34,0.5541579663683937
30,45,0.6626244114682716
0,27,0.8153179345501798
6,16,0.5265377676476268
12,41,0.4992470960348223
20,35,0.6926713329814492
30,46,0.54422919761469
0,28,0.6392639384716304
6,17,0.37775929887305304
12,42,0.573072062361504
20,36,0.6609635981392723
30,47,0.42678094815578027
0,29,0.8592404837298984
6,18,0.8189708806788321
12,43,0.41274172887470884
20,37,0.5936490348853419
30,48,0.5731107931429981
0,30,0.8592404837298984
6,19,0.638760340625893
12,44,0.552267116766111
20,38,0.8452835834742585
30,49,0.5338549421073775
0,31,0.42994471894446007
6,20,0.8452835834742585
12,45,0.3819833499629287
20,39,0.5287646806112218
30,50,0.5423612632908745
0,32,0.5880534019370932
6,21,0.3767096954929092
12,46,0.5045925851459406
20,40,0.23963251701887517
30,51,0.6216381732157275
0,33,0.4570208442402768
6,22,0.5265377676476268
12,47,0.48195750150365635
20,41,0.4544923819450789
30,52,0.4641215092571412
0,34,0.7350590953332912
6,23,0.644614788605383
12,48,0.530673593723556
20,42,0.58585407171574
30,53,0.5156361324092964
0,35,0.3997088361211801
6,24,0.31609677051638085
12,49,0.5771354225117208
20,43,0.7990466650301717
31,32,0.8452835834742585
0,36,0.4357813956488099
6,25,0.5217427608108671
12,50,0.4304832386694528
20,44,0.440345442474133
20,45,0.38424109257205735
0,37,0.5804647238665925
6,26,0.6865664507427236
12,51,0.5049875033110416
31,33,0.4027400580784588
20,46,0.41592835272765255
0,38,0.4108511051987737
6,27,0.3650578019110349
12,52,0.35888004082720293
31,34,0.4821388280747567
20,47,0.7072799762521194
0,39,0.6929322153689713
6,28,0.6405779545180063
12,53,0.40896300966126786
31,35,0.3498606531501741
20,48,0.44480994825596054
0,40,0.3067443798568559
6,29,0.39654213396103466
13,14,0.7144138211883262
31,36,0.2792228277096928
20,49,0.43815544754565783
0,41,0.6051179400841585
6,30,0.39654213396103466
13,15,0.5497216312341526
31,37,0.5668922092443549
20,50,0.42525389752498427
0,42,0.717790879671735
6,31,0.3809665419830953
13,16,0.944227600147854
31,38,0.5356829585088367
20,51,0.7489208563389117
0,43,0.7276633694680623
6,32,0.3809665419830953
13,17,0.4943685853403812
31,39,0.6392798675699072
20,52,0.8518903428284759
0,44,0.6094349969691752
6,33,0.5578692352774179
13,18,0.629382083256985
31,40,0.33512130758544734
20,53,0.8024224314356003
0,45,0.6810392470976234
6,34,0.46137803798942834
13,19,0.4692415888221423
31,41,0.4035574420272172
21,22,0.40733903983519937
0,46,0.5626440332440419
6,35,0.7960084364972024
13,20,0.6164995949915978
31,42,0.5533734135418599
21,23,0.2997282288712286
0,47,0.4410899193935193
6,36,0.6280441359896283
13,21,0.39164323615410457
31,43,0.3810772667801846
21,24,0.4010000766736559
0,48,0.5915256287723498
6,37,0.5393576681821582
13,22,0.944227600147854
31,44,0.3950086340455857
21,25,0.34032455573615844
0,49,0.5522697777367293
6,38,0.8452835834742585
13,23,0.3972479109809679
31,45,0.44716855659590493
21,26,0.3546392295590049
0,50,0.5607760989202263
6,39,0.46380266095883727
13,24,0.34060941976585474
31,46,0.3743191433663807
21,27,0.4005878433930388
0,51,0.6467022805906482
6,40,0.23963251701887517
13,25,0.7104154537575127
31,47,0.4751316651156384
21,28,0.4074857864021829
0,52,0.482536344886493
6,41,0.3839121005595536
13,26,0.4501341139588192
31,48,0.39699422716943145
21,29,0.4250841832193908
0,53,0.5340509680386483
6,42,0.5284182284558275
13,27,0.73259567048593
31,49,0.432271125513641
21,30,0.4250841832193908
1,2,0.632231179844317
6,43,0.7459719162543574
13,28,0.49622370992703413
31,50,0.38391092632886203
21,31,0.39480964106891786
1,3,0.6898361113564484
6,44,0.3753834228217484
13,29,0.7741870486643642
31,51,0.513032125035551
21,32,0.39480964106891786
1,4,0.5529412167160959
6,45,0.3404920743528326
13,30,0.7741870486643642
31,52,0.43673875912417065
21,33,0.30811356788971667
1,5,0.3509572078361255
6,46,0.35467380189871706
13,31,0.42072975653986244
31,53,0.4758636836787047
21,34,0.49607560755999963
1,6,0.627876457555988
1,7,0.5621486345307718
13,32,0.5280093556268004
32,33,0.4736061158684106
21,35,0.6732564840292845
6,47,0.6395008765775272
1,8,0.5580546242669988
13,33,0.4101264329061563
32,34,0.6769906375135867
21,36,0.314140121838354
6,48,0.37734888570176783
1,9,0.5614710297784394
13,34,0.6318177511220018
32,35,0.3498606531501741
21,37,0.5697756615450825
6,49,0.5512855783717976
1,10,0.4533190068984944
13,35,0.3566161825872186
32,36,0.35008888549964456
21,38,0.3767096954929092
6,50,0.3686223910403723
1,11,0.6884194281661136
13,36,0.37622995982860313
32,37,0.5668922092443549
21,39,0.49850023052940856
6,51,0.6557272147114719
1,12,0.4520129097209231
13,37,0.5595547487523229
32,38,0.3809665419830953
21,40,0.3329791354026752
6,52,0.8189708806788321
1,13,0.6898361113564484
13,38,0.5634248462157834
32,39,0.6232086085087096
21,41,0.4115650825284588
6,53,0.7586734132163756
1,14,0.8741760020792337
13,39,0.5896908711576819
32,40,0.2530363876489454
21,42,0.5665811613025177
7,8,0.6745362939580192
1,15,0.5789930536321054
13,40,0.2694814235343883
32,41,0.5409659145813585
21,43,0.3666539727526249
7,9,0.4556529407342864
1,16,0.7206306892770415
13,41,0.5200645050186242
32,42,0.6743292975153076
21,44,0.40217166999258236
7,10,0.5579166809032594
1,17,0.5179841522800391
13,42,0.6354412720454181
32,43,0.4883568658671226
21,45,0.3502067671475313
7,11,0.5256629442548817
1,18,0.7067161828625768
13,43,0.8506692450252623
32,44,0.5336537915101298
21,46,0.3794645487173566
7,12,0.49973230086569903
1,19,0.7983253559518398
13,44,0.5197035784704439
32,45,0.5380715882701135
21,47,0.4100666699685208
7,13,0.5446934386612343
1,20,0.6938336945971896
13,45,0.6347093394257002
32,46,0.4953510485077923
21,48,0.4021396325204073
7,14,0.6720005727053423
1,21,0.39478428944016464
13,46,0.4835282312919941
32,47,0.4751316651156384
21,49,0.47225482487592013
7,15,0.7056434587837777
1,22,0.7206306892770415
13,47,0.39777163649444336
32,48,0.5333487746807443
21,50,0.38380933863190964
7,16,0.57265045273
1,23,0.6520677037974524
13,48,0.5124098268203021
32,49,0.48640358909644477
21,51,0.5070124462094804
7,17,0.7076336469199762
1,24,0.3435667835277657
13,49,0.4756688978024327
32,50,0.5002284999559181
21,52,0.3408178841092042
7,18,0.48659528825555054
1,25,0.42494746797953437
13,50,0.5031107344252208
32,51,0.6085734670561511
21,53,0.3793554697146432
7,19,0.6206954232879733
1,26,0.7323419773458323
13,51,0.8290362889220115
32,52,0.4255198969776206
22,23,0.4160859804195731
7,20,0.6385560513688354
1,27,0.7115965537094533
13,52,0.6093451093727282
32,53,0.4846817954164113
22,24,0.35612153392280044
7,21,0.5056547161482781
1,28,0.7006005745340762
13,53,0.657056843595848
33,34,0.513306195878718
22,25,0.6479418621846595
7,22,0.57265045273
1,29,0.753289163951318
14,15,0.5535785116792578
33,35,0.5316788107701858
22,26,0.4796967546960751
